id,Weight (g),Length (cm),Width (cm),Heigth (cm),Perimeter,fruits
1,176,7,7,6,22,cam
2,165,7.5,7.5,6.5,24,cam
3,143,7,7,5.8,22,cam
4,218,8,8,7,25,cam
5,188,7.5,7.5,6.8,24,cam
6,140,7.1,7.3,5.7,21.1,chanh
7,99,6.5,6,5,18.6,chanh
8,156,7.5,7.5,5.8,21.9,chanh
9,152,7.8,7.3,5.6,21.5,chanh
10,132,6.9,7.3,5,20.5,chanh
11,226,8.8,9,6.6,24.7,chanh
12,115,6.7,6.8,5.2,19.5,chanh
13,180,8,8.2,6.1,23,chanh
14,145,7.2,7.4,5.5,21.2,chanh
15,210,8.5,8.6,6.4,24.1,chanh
16,29,26,13,12.5,40.82,chanh 2
17,28,27,13.5,13,42.39,chanh 2
18,26,26.8,13.4,12.9,42.076,chanh 2
19,39,28,14,13.6,43.96,chanh 2
20,36,28.8,14.4,13.4,45.216,chanh 2
21,52,28.4,14.2,13.3,44.588,chanh 2
22,58,29.2,14.6,13.9,45.844,chanh 2
23,33,30,15,14.2,47.1,chanh 2
24,31,28.4,14.2,12.8,44.588,chanh 2
25,35,27.2,13.6,12.8,42.704,chanh 2
